cell_id,cell_type
37_13,Cancer Epithelial
37_14,Cancer Epithelial
37_15,Cancer Epithelial
37_16,Cancer Epithelial
37_17,Cancer Epithelial
37_18,Cancer Epithelial
37_19,Cancer Epithelial
37_20,Cancer Epithelial
37_21,Cancer Epithelial
37_22,Cancer Epithelial
37_23,Cancer Epithelial
37_24,Cancer Epithelial
37_25,Cancer Epithelial
37_26,Cancer Epithelial
37_27,Cancer Epithelial
37_28,Cancer Epithelial
37_29,Cancer Epithelial
37_30,Cancer Epithelial
37_31,Cancer Epithelial
37_32,Cancer Epithelial
37_33,Cancer Epithelial
37_34,Cancer Epithelial
37_35,Cancer Epithelial
37_36,Cancer Epithelial
37_37,Cancer Epithelial
37_38,Cancer Epithelial
37_39,Cancer Epithelial
37_40,Cancer Epithelial
37_41,Cancer Epithelial
37_42,Cancer Epithelial
37_43,Cancer Epithelial
37_44,Cancer Epithelial
37_45,Cancer Epithelial
37_46,Cancer Epithelial
37_47,Cancer Epithelial
37_48,Cancer Epithelial
37_49,Cancer Epithelial
37_50,Cancer Epithelial
37_51,Cancer Epithelial
37_52,Cancer Epithelial
37_53,Cancer Epithelial
37_54,Cancer Epithelial
37_55,Cancer Epithelial
37_56,Cancer Epithelial
37_57,Cancer Epithelial
37_58,Cancer Epithelial
37_59,Cancer Epithelial
37_60,Cancer Epithelial
37_61,Cancer Epithelial
37_62,Cancer Epithelial
37_63,Cancer Epithelial
37_64,Cancer Epithelial
37_66,Cancer Epithelial
37_67,Cancer Epithelial
37_68,Cancer Epithelial
37_69,Cancer Epithelial
37_70,Cancer Epithelial
37_71,Cancer Epithelial
37_72,Cancer Epithelial
37_73,Cancer Epithelial
37_74,Cancer Epithelial
37_75,Cancer Epithelial
37_76,Cancer Epithelial
37_77,Cancer Epithelial
37_78,Cancer Epithelial
37_79,Cancer Epithelial
37_80,Cancer Epithelial
37_81,Cancer Epithelial
37_82,Cancer Epithelial
37_83,Cancer Epithelial
37_84,Cancer Epithelial
37_85,Cancer Epithelial
37_86,Cancer Epithelial
37_87,Cancer Epithelial
37_88,Cancer Epithelial
37_89,Cancer Epithelial
37_90,Cancer Epithelial
37_91,Cancer Epithelial
37_92,Cancer Epithelial
37_93,Cancer Epithelial
37_94,Cancer Epithelial
37_96,Cancer Epithelial
37_97,Cancer Epithelial
37_98,CAFs
37_99,Cancer Epithelial
37_100,Cancer Epithelial
37_101,Cancer Epithelial
37_102,Cancer Epithelial
37_103,Cancer Epithelial
37_104,Cancer Epithelial
37_105,Endothelial
37_106,Cancer Epithelial
37_107,Cancer Epithelial
37_108,Cancer Epithelial
37_109,Cancer Epithelial
37_110,Cancer Epithelial
37_111,Cancer Epithelial
37_112,Cancer Epithelial
37_113,Cancer Epithelial
37_114,Cancer Epithelial
37_115,Cancer Epithelial
37_116,Cancer Epithelial
37_117,Cancer Epithelial
37_118,Cancer Epithelial
37_119,Cancer Epithelial
37_120,Cancer Epithelial
37_121,Cancer Epithelial
37_122,Cancer Epithelial
37_123,Cancer Epithelial
37_124,Cancer Epithelial
37_125,Cancer Epithelial
37_126,Cancer Epithelial
37_127,Cancer Epithelial
37_128,Cancer Epithelial
37_129,Cancer Epithelial
37_130,Cancer Epithelial
37_131,CAFs
37_132,Cancer Epithelial
37_133,Cancer Epithelial
37_134,Cancer Epithelial
37_135,Cancer Epithelial
37_137,Cancer Epithelial
37_139,Cancer Epithelial
37_140,Cancer Epithelial
37_141,Cancer Epithelial
37_142,Cancer Epithelial
37_143,Cancer Epithelial
37_144,Cancer Epithelial
37_145,Cancer Epithelial
37_146,CAFs
37_147,Cancer Epithelial
37_148,Cancer Epithelial
37_149,Cancer Epithelial
37_150,Cancer Epithelial
37_151,Cancer Epithelial
37_153,PVL
37_154,Cancer Epithelial
37_155,Cancer Epithelial
37_156,Cancer Epithelial
37_157,Cancer Epithelial
37_158,Cancer Epithelial
37_159,Cancer Epithelial
37_161,Cancer Epithelial
37_162,Cancer Epithelial
37_163,Cancer Epithelial
37_164,Cancer Epithelial
37_165,Cancer Epithelial
37_166,Cancer Epithelial
37_167,Cancer Epithelial
37_168,Cancer Epithelial
37_169,Cancer Epithelial
37_170,Cancer Epithelial
37_171,Cancer Epithelial
37_172,CAFs
37_173,Cancer Epithelial
37_174,Cancer Epithelial
37_175,Cancer Epithelial
37_176,Cancer Epithelial
37_177,Cancer Epithelial
37_178,Cancer Epithelial
37_179,Cancer Epithelial
37_180,PVL
37_181,Cancer Epithelial
37_182,Cancer Epithelial
37_183,Cancer Epithelial
37_184,Cancer Epithelial
37_185,Cancer Epithelial
37_186,Cancer Epithelial
37_187,Cancer Epithelial
37_188,Cancer Epithelial
37_189,Cancer Epithelial
37_190,Cancer Epithelial
37_191,Endothelial
37_192,CAFs
37_193,Cancer Epithelial
37_194,Cancer Epithelial
37_195,CAFs
37_196,Cancer Epithelial
37_197,Cancer Epithelial
37_198,Cancer Epithelial
37_199,Cancer Epithelial
37_200,Cancer Epithelial
37_201,Cancer Epithelial
37_202,Cancer Epithelial
37_203,Cancer Epithelial
37_204,CAFs
37_205,Cancer Epithelial
37_206,Cancer Epithelial
37_207,Cancer Epithelial
37_208,Cancer Epithelial
37_209,Cancer Epithelial
37_210,Cancer Epithelial
37_211,Cancer Epithelial
37_212,Cancer Epithelial
37_214,Cancer Epithelial
37_216,Cancer Epithelial
37_217,Cancer Epithelial
37_218,Cancer Epithelial
37_219,Cancer Epithelial
37_220,Cancer Epithelial
37_221,Cancer Epithelial
37_223,Cancer Epithelial
37_224,Cancer Epithelial
37_225,Cancer Epithelial
37_226,Cancer Epithelial
37_227,CAFs
37_228,Cancer Epithelial
37_229,Cancer Epithelial
37_231,Cancer Epithelial
37_232,Cancer Epithelial
37_233,Endothelial
37_234,Cancer Epithelial
37_235,CAFs
37_236,Cancer Epithelial
37_237,Cancer Epithelial
37_238,Cancer Epithelial
37_239,Cancer Epithelial
37_241,Cancer Epithelial
37_242,Cancer Epithelial
37_243,Cancer Epithelial
37_244,Endothelial
37_245,Cancer Epithelial
37_246,Cancer Epithelial
37_247,Cancer Epithelial
37_248,Cancer Epithelial
37_250,Cancer Epithelial
37_251,Cancer Epithelial
37_252,Cancer Epithelial
37_253,Cancer Epithelial
37_254,Cancer Epithelial
37_255,Cancer Epithelial
37_256,Cancer Epithelial
37_257,Cancer Epithelial
37_258,Endothelial
37_259,Cancer Epithelial
37_260,Cancer Epithelial
37_261,CAFs
37_262,Cancer Epithelial
37_264,Cancer Epithelial
37_265,CAFs
37_266,Cancer Epithelial
37_267,Cancer Epithelial
37_268,CAFs
37_269,PVL
37_270,Cancer Epithelial
37_271,Cancer Epithelial
37_272,Cancer Epithelial
37_273,CAFs
37_274,Cancer Epithelial
37_275,Cancer Epithelial
37_276,Cancer Epithelial
37_277,Cancer Epithelial
37_278,Cancer Epithelial
37_279,Endothelial
37_280,CAFs
37_281,Endothelial
37_282,Cancer Epithelial
37_283,Cancer Epithelial
37_284,Cancer Epithelial
37_285,Cancer Epithelial
37_286,Cancer Epithelial
37_287,Cancer Epithelial
37_288,Cancer Epithelial
37_289,Cancer Epithelial
37_290,Cancer Epithelial
37_291,CAFs
37_292,Cancer Epithelial
37_293,Cancer Epithelial
37_294,Cancer Epithelial
37_295,Cancer Epithelial
37_296,Cancer Epithelial
37_297,Cancer Epithelial
37_298,Cancer Epithelial
37_299,Cancer Epithelial
37_300,Cancer Epithelial
37_301,Cancer Epithelial
37_303,Cancer Epithelial
37_304,CAFs
37_305,CAFs
37_306,Cancer Epithelial
37_307,Cancer Epithelial
37_309,Endothelial
37_310,Cancer Epithelial
37_311,Cancer Epithelial
37_312,Cancer Epithelial
37_313,Cancer Epithelial
37_315,Cancer Epithelial
37_317,Cancer Epithelial
37_318,CAFs
37_319,Cancer Epithelial
37_320,Cancer Epithelial
37_321,Cancer Epithelial
37_322,Cancer Epithelial
37_323,Cancer Epithelial
37_324,Cancer Epithelial
37_325,Cancer Epithelial
37_326,Cancer Epithelial
37_327,Cancer Epithelial
37_328,Cancer Epithelial
37_329,Cancer Epithelial
37_330,Cancer Epithelial
37_331,Cancer Epithelial
37_333,Cancer Epithelial
37_334,Cancer Epithelial
37_335,Cancer Epithelial
37_336,PVL
37_337,Cancer Epithelial
37_338,Cancer Epithelial
37_339,Cancer Epithelial
37_340,Cancer Epithelial
37_341,Cancer Epithelial
37_342,Cancer Epithelial
37_343,Cancer Epithelial
37_344,Cancer Epithelial
37_345,Cancer Epithelial
37_346,Cancer Epithelial
37_347,Cancer Epithelial
37_348,CAFs
37_349,Cancer Epithelial
37_350,Cancer Epithelial
37_351,Cancer Epithelial
37_352,Cancer Epithelial
37_354,Cancer Epithelial
37_355,CAFs
37_356,Cancer Epithelial
37_357,Cancer Epithelial
37_358,Cancer Epithelial
37_359,Cancer Epithelial
37_360,Cancer Epithelial
37_361,Cancer Epithelial
37_362,Cancer Epithelial
37_363,Cancer Epithelial
37_364,Cancer Epithelial
37_365,Cancer Epithelial
37_366,Cancer Epithelial
37_367,Cancer Epithelial
37_368,Cancer Epithelial
37_369,Cancer Epithelial
37_370,Cancer Epithelial
37_371,Cancer Epithelial
37_372,Cancer Epithelial
37_373,Cancer Epithelial
37_374,Cancer Epithelial
37_375,Cancer Epithelial
37_376,Cancer Epithelial
37_377,Cancer Epithelial
37_378,Cancer Epithelial
37_379,Cancer Epithelial
37_380,Cancer Epithelial
37_381,Cancer Epithelial
37_382,Cancer Epithelial
37_383,Cancer Epithelial
37_384,Cancer Epithelial
37_385,Cancer Epithelial
37_386,Cancer Epithelial
37_387,PVL
37_388,Cancer Epithelial
37_389,Cancer Epithelial
37_390,Cancer Epithelial
37_391,Cancer Epithelial
37_392,Cancer Epithelial
37_393,Cancer Epithelial
37_394,Cancer Epithelial
37_395,Cancer Epithelial
37_396,Cancer Epithelial
37_397,Cancer Epithelial
37_398,Cancer Epithelial
37_399,Cancer Epithelial
37_400,Cancer Epithelial
37_401,Cancer Epithelial
37_402,Cancer Epithelial
37_403,Cancer Epithelial
37_404,Cancer Epithelial
37_405,Cancer Epithelial
37_406,Cancer Epithelial
37_408,Cancer Epithelial
37_409,Cancer Epithelial
37_410,Cancer Epithelial
37_411,Cancer Epithelial
37_412,Cancer Epithelial
37_413,Cancer Epithelial
37_414,Cancer Epithelial
37_415,Cancer Epithelial
37_416,Cancer Epithelial
37_417,Cancer Epithelial
37_418,Cancer Epithelial
37_419,Cancer Epithelial
37_420,Cancer Epithelial
37_421,Cancer Epithelial
37_422,Cancer Epithelial
37_424,Cancer Epithelial
37_425,Cancer Epithelial
37_426,Cancer Epithelial
37_428,Cancer Epithelial
37_429,Cancer Epithelial
37_431,Cancer Epithelial
37_432,Cancer Epithelial
37_433,Cancer Epithelial
37_434,Cancer Epithelial
37_435,Cancer Epithelial
37_436,Cancer Epithelial
37_437,Cancer Epithelial
37_438,Cancer Epithelial
37_439,Cancer Epithelial
37_440,Cancer Epithelial
